Aktywny (0/1); Nazwa; Kategoria nadrzędna; Kategoria główna; Przypisany URL; URL zdjęcia
1;Artykuły biurowe;Strona główna;0;artykuly_biurowe;
1;Artykuły papiernicze;Strona główna;0;artykuly_papiernicze;
1;Artykuły piśmiennicze;Strona główna;0;artykuly_pismiennicze;
1;Artykuły szkolne;Strona główna;0;artykuly_szkolne;
1;Artykuły spożywcze;Strona główna;0;artykuly_spozywcze;
1;Akcesoria komputerowe;Strona główna;0;akcesoria_komputerowe;
1;Organizacja dokumentów;Strona główna;0;organizacja_dokumentow;
1;Pakowanie i wysyłka;Strona główna;0;pakowanie_i_wysylka;
1;Tablice i flipcharty;Strona główna;0;tablice_i_flipcharty;
1;Chemia gospodarcza;Strona główna;0;chemia_gospodarcza;
1;Tusze i tonery;Strona główna;0;tusze_i_tonery;
1;Urządzenia biurowe;Strona główna;0;urzadzenia_biurowe;
1;Dla dzieci;Strona główna;0;dla_dzieci;
1;Ergonomia w biurze;Strona główna;0;ergonomia_w_biurze;
1;Dziurkacze i zszywacze;Artykuły biurowe; 0;dziurkacze_i_zszywacze; C:/xampp/htdocs/crawler/img/dziurkacze_i_zszywacze.jpg
1;Dziurkacze;Dziurkacze i zszywacze; 0;dziurkacze;
1;Rozszywacze;Dziurkacze i zszywacze; 0;rozszywacze;
1;Zszywacze;Dziurkacze i zszywacze; 0;zszywacze;
1;Zszywki;Dziurkacze i zszywacze; 0;zszywki;
1;Karteczki i kostki;Artykuły biurowe; 0;karteczki_i_kostki; C:/xampp/htdocs/crawler/img/karteczki_i_kostki.jpg
1;Karteczki samoprzylepne;Karteczki i kostki; 0;karteczki_samoprzylepne;
1;Kostki papierowe;Karteczki i kostki; 0;kostki_papierowe;
1;Kleje;Artykuły biurowe; 0;kleje; C:/xampp/htdocs/crawler/img/kleje.jpg
1;Kleje w płynie;Kleje; 0;kleje_w_plynie;
1;Kleje w sztyfcie;Kleje; 0;kleje_w_sztyfcie;
1;Kleje w taśmie;Kleje; 0;kleje_w_tasmie;
1;Masy mocujące;Kleje; 0;masy_mocujace;
1;Klipsy i spinacze;Artykuły biurowe; 0;klipsy_i_spinacze; C:/xampp/htdocs/crawler/img/klipsy_i_spinacze.jpg
1;Klipsy biurowe;Klipsy i spinacze; 0;klipsy_biurowe;
1;Spinacze biurowe;Klipsy i spinacze; 0;spinacze_biurowe;
1;Nożyczki i noże;Artykuły biurowe; 0;nozyczki_i_noze; C:/xampp/htdocs/crawler/img/nozyczki_i_noze.jpg
1;Noże do papieru;Nożyczki i noże; 0;noze_do_papieru;
1;Nożyczki biurowe;Nożyczki i noże; 0;nozyczki_biurowe;
1;Pieczątki i akcesoria;Artykuły biurowe; 0;pieczatki_i_akcesoria; C:/xampp/htdocs/crawler/img/pieczatki_i_akcesoria.jpg
1;Datowniki;Pieczątki i akcesoria; 0;datowniki;
1;Numeratory;Pieczątki i akcesoria; 0;numeratory;
1;Pieczątki;Pieczątki i akcesoria; 0;pieczatki;
1;Poduszki do pieczątek;Pieczątki i akcesoria; 0;poduszki_do_pieczatek;
1;Tusze do stempli;Pieczątki i akcesoria; 0;tusze_do_stempli;
1;Przyborniki i podkładki;Artykuły biurowe; 0;przyborniki_i_podkladki; C:/xampp/htdocs/crawler/img/przyborniki_i_podkladki.jpg
1;Podkładki na biurko;Przyborniki i podkładki; 0;podkladki_na_biurko;
1;Przyborniki na biurko;Przyborniki i podkładki; 0;przyborniki_na_biurko;
1;Skorowidze i wizytowniki;Artykuły biurowe; 0;skorowidze_i_wizytowniki; C:/xampp/htdocs/crawler/img/skorowidze_i_wizytowniki.jpg
1;Skorowidze;Skorowidze i wizytowniki; 0;skorowidze;
1;Wizytowniki i akcesoria;Skorowidze i wizytowniki; 0;wizytowniki_i_akcesoria;
1;Taśmy klejące;Artykuły biurowe; 0;tasmy_klejace; C:/xampp/htdocs/crawler/img/tasmy_klejace.jpg
1;Podajniki do taśm;Taśmy klejące; 0;podajniki_do_tasm;
1;Taśmy biurowe;Taśmy klejące; 0;tasmy_biurowe;
1;Taśmy dwustronne;Taśmy klejące; 0;tasmy_dwustronne;
1;Wyposażenie biura;Artykuły biurowe; 0;wyposazenie_biura; C:/xampp/htdocs/crawler/img/wyposazenie_biura.jpg
1;Apteczki;Wyposażenie biura; 0;apteczki;
1;Fotele i krzesła biurowe;Wyposażenie biura; 0;fotele_i_krzesla_biurowe;
1;Kosze na śmieci;Wyposażenie biura; 0;kosze_na_smieci;
1;Kubki i akcesoria;Wyposażenie biura; 0;kubki_i_akcesoria;
1;Lampki na biurko;Wyposażenie biura; 0;lampki_na_biurko;
1;Maty pod krzesło;Wyposażenie biura; 0;maty_pod_krzeslo;
1;Podnóżki;Wyposażenie biura; 0;podnozki;
1;Podpórki pod plecy;Wyposażenie biura; 0;podporki_pod_plecy;
1;Sejfy i kasetki na pieniądze;Wyposażenie biura; 0;sejfy_i_kasetki_na_pieniadze;
1;Szafki na klucze;Wyposażenie biura; 0;szafki_na_klucze;
1;Taborety biurowe;Wyposażenie biura; 0;taborety_biurowe;
1;Wieszaki, garderoby;Wyposażenie biura; 0;wieszaki_garderoby;
1;Pozostałe;Artykuły biurowe; 0;pozostale; C:/xampp/htdocs/crawler/img/pozostale.jpg
1;Gumki recepturki;Pozostałe; 0;gumki_recepturki;
1;Maczałki i zwilżacze;Pozostałe; 0;maczalki_i_zwilzacze;
1;Bruliony, notatniki i zeszyty;Artykuły papiernicze; 0;bruliony_notatniki_i_zeszyty; C:/xampp/htdocs/crawler/img/bruliony_notatniki_i_zeszyty.jpg
1;Bloki biurowe;Bruliony, notatniki i zeszyty; 0;bloki_biurowe;
